,모집단위(주택군),주택열람가능여부,광역지자체,기초지자체,주소,동,호,공급형,성별용도구분,전용면적,주거공용면적,면적계,방수,층,승강기,주택유형,청년 1순위_기본임대보증금,청년 1순위_기본월임대료,청년 1순위_상한임대보증금,청년 1순위_하한월임대료,청년 1순위_임대료하한기준액,청년 1순위_계약금,청년 1순위_잔금,청년 2·3순위_임대보증금,청년 2·3순위_월임대료,청년 2·3순위_상한임대보증금,청년 2·3순위_하한월임대료,청년 2·3순위_임대료하한기준액,청년 2·3순위_계약금,청년 2·3순위_잔금,비고,호관리번호
34,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 벽돌말로3번길 12(간석동) ,,202,1형,남여공용,16.77,7.37,24.14,1,2층,N,다가구주택,"1,000,000","59,410","4,300,000","40,160","39,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","69,510","7,100,000","39,760","39,580",기본임대보증금의 10%,임대보증금-계약금,,P2820001720005
35,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 염전로168번길 28(도화동) 도화두손지젤시티,A,419,단독(1인),남여공용,20.7376,11.0125,31.7501,1,4층,Y,오피스텔,"1,000,000","152,630","15,700,000","66,880","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","184,900","21,000,000","74,060","73,960",기본임대보증금의 10%,임대보증금-계약금,,P2817003711612
36,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 염전로168번길 28(도화동) 도화두손지젤시티,A,302,단독(1인),남여공용,20.7376,11.0125,31.7501,1,3층,Y,오피스텔,"1,000,000","166,990","18,100,000","67,240","66,790",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","202,840","22,800,000","81,500","81,130",기본임대보증금의 10%,임대보증금-계약금,,P2817003712284
37,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 염전로168번길 28(도화동) 도화두손지젤시티,A,403,단독(1인),남여공용,20.7376,11.0125,31.7501,1,4층,Y,오피스텔,"1,000,000","166,990","18,100,000","67,240","66,790",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","202,840","22,800,000","81,500","81,130",기본임대보증금의 10%,임대보증금-계약금,,P2817003712300
38,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51(숭의동) 더스테이프라임월드,,1408,단독(1인),남여공용,33.1138,22.1251,55.2389,1,14층,Y,오피스텔,"1,000,000","203,240","21,900,000","81,320","81,290",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","247,760","27,400,000","99,590","99,100",기본임대보증금의 10%,임대보증금-계약금,,P2817003712408
39,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51(숭의동) 더스테이프라임월드,,1505,단독(1인),남여공용,34.8839,22.4349,57.3188,1,15층,Y,오피스텔,"1,000,000","211,060","22,700,000","84,470","84,420",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","257,430","28,400,000","103,430","102,970",기본임대보증금의 10%,임대보증금-계약금,,P2817003712401
40,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,543,단독(1인),남여공용,21.6777,27.5574,49.2351,1,5층,Y,오피스텔,"1,000,000","192,320","20,700,000","77,400","76,920",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","233,860","26,000,000","93,860","93,540",기본임대보증금의 10%,임대보증금-계약금,,P2817003712521
41,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,1112,단독(1인),남여공용,21.6777,27.8274,49.5051,1,11층,Y,오피스텔,"1,000,000","191,800","20,700,000","76,880","76,720",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","233,190","25,900,000","93,770","93,270",기본임대보증금의 10%,임대보증금-계약금,,P2817003712477
42,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,1808,단독(1인),남여공용,21.6777,27.5574,49.2351,1,18층,Y,오피스텔,"1,000,000","190,730","20,600,000","76,390","76,290",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","231,870","25,800,000","93,030","92,740",기본임대보증금의 10%,임대보증금-계약금,,P2817003712524
43,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,2137,단독(1인),남여공용,21.6777,27.5574,49.2351,1,21층,Y,오피스텔,"1,000,000","200,110","21,500,000","80,520","80,040",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","243,600","27,000,000","97,760","97,440",기본임대보증금의 10%,임대보증금-계약금,,P2817003712485
